,countyname,state,zipcode
0,Siskiyou County,CA,96023.0
444,Shasta County,CA,96008.0
702,Shasta County,CA,96047.0
1128,Trinity County,CA,96024.0
1458,Lassen County,CA,96117.0
2022,Lassen County,CA,96109.0
2292,Marion County,OR,97317.0
2868,Modoc County,CA,96006.0
3324,Modoc County,CA,96104.0
3624,Siskiyou County,CA,96050.0
4116,Shasta County,CA,96007.0
4117,Tehama County,CA,96007.0
4488,Nevada County,CA,96161.0
4489,Placer County,CA,96161.0
5232,Plumas County,CA,95983.0
5490,Siskiyou County,CA,96027.0
6048,Shasta County,CA,96025.0
6049,Siskiyou County,CA,96025.0
6696,Benton County,OR,97330.0
7356,Siskiyou County,CA,96038.0
7392,Plumas County,CA,96020.0
7614,Alpine County,CA,96120.0
8070,Sierra County,CA,96125.0
8346,Shasta County,CA,96028.0
8658,Modoc County,CA,96101.0
8970,Mono County,CA,96107.0
9420,Siskiyou County,CA,96086.0
9846,Lassen County,CA,96121.0
10332,Lassen County,CA,96128.0
10632,Trinity County,CA,96048.0
10770,Modoc County,CA,96015.0
11052,Plumas County,CA,96105.0
11148,Sutter County,CA,95991.0
11190,Siskiyou County,CA,96044.0
11334,Plumas County,CA,96122.0
11994,Sierra County,CA,96124.0
12486,Shasta County,CA,96013.0
12648,Shasta County,CA,96019.0
12678,Siskiyou County,CA,96097.0
12756,Colusa County,CA,95987.0
12852,Shasta County,CA,96016.0
13002,Shasta County,CA,96003.0
13152,Modoc County,CA,96134.0
13153,Siskiyou County,CA,96134.0
13500,El Dorado County,CA,96150.0
13722,Polk County,OR,97344.0
13806,Sutter County,CA,95993.0
13926,Shasta County,CA,96001.0
14058,Plumas County,CA,96103.0
14178,Trinity County,CA,96091.0
14370,Sutter County,CA,95982.0
14484,Shasta County,CA,96022.0
14485,Tehama County,CA,96022.0
14844,Siskiyou County,CA,96058.0
15030,Shasta County,CA,96088.0
15072,Tehama County,CA,96021.0
15114,Lassen County,CA,96137.0
15115,Plumas County,CA,96137.0
15258,Benton County,OR,97324.0
15259,Lane County,OR,97324.0
15260,Lincoln County,OR,97324.0
15294,Glenn County,CA,95988.0
15306,Siskiyou County,CA,96039.0
